Thyroid,323
Testis,172
Brain - Anterior cingulate cortex (BA24),84
Skin - Not Sun Exposed (Suprapubic),250
Vagina,96
Heart - Atrial Appendage,194
Brain - Caudate (basal ganglia),117
Esophagus - Muscularis,247
Brain - Putamen (basal ganglia),97
Brain - Spinal cord (cervical c-1),71
Breast - Mammary Tissue,214
Brain - Cerebellum,125
Esophagus - Mucosa,286
Brain - Cerebellar Hemisphere,105
Small Intestine - Terminal Ileum,88
Artery - Coronary,133
Liver,119
Esophagus - Gastroesophageal Junction,153
Brain - Hypothalamus,96
Colon - Transverse,196
Prostate,106
Brain - Amygdala,72
Pancreas,171
Adipose - Subcutaneous,350
Skin - Sun Exposed (Lower leg),357
Spleen,104
Pituitary,103
Brain - Hippocampus,94
Whole Blood,393
Brain - Cortex,114
Artery - Tibial,332
Kidney - Cortex,32
Uterus,83
Brain - Nucleus accumbens (basal ganglia),113
Ovary,97
Minor Salivary Gland,57
Heart - Left Ventricle,218
Artery - Aorta,224
Stomach,193
Brain - Frontal Cortex (BA9),108
Adipose - Visceral (Omentum),227
Adrenal Gland,145
Lung,320
Cells - Transformed fibroblasts,284
Muscle - Skeletal,430
Colon - Sigmoid,149
Nerve - Tibial,304
Brain - Substantia nigra,63
Cells - EBV-transformed lymphocytes,118
